Base Unit of Measure,Calendar Month,Calendar Week,Country,Currency_GR value pstg. date,Currency_Net order value,Date on which the purchasing document was created,Evaluated Receipt Settlement_ERS,Final Invoice Indicator,Fiscal year,Fiscal year/period,Fiscal year variant,Goods Receipt Indicator,GR-Based Invoice Verification,Inbound Delivery Date,InfoProvider,Invoice Receipt Indicator,Item Category in Purchasing Document,Item number of purchasing document,Item of Principal Agreement,Local Currency,Material Group,Meeting ID,Name of requisitioner/requester,Number of Principal Purchase Agreement,Order unit,Planned delivery date of document schedule line,Planned Delivery Month,Plant,Plant Material,PO Approver ID,PO Item,PO Release date,PO Release Indicator,PO Requisitioner Personnel Number,Posting Date in the Document,Product Description,Puchasing document category,Purchase Document Date,Purchase Order Currency,Purchasing document number,Purchasing Document Type,Purchasing Group,Purchasing Organization,Request Transaction Sequence Number,Schedule line date,Schedule line number,Statistics date,Status of purchasing document,Trial Alias,Unit Goods Receipt Quantity in Base Unit,Unit Invoiced Quantity in Base Unit,Unit Open Quantity,Unit Order Quantity in Base Unit,Unit Order quantity,Unit PO quantity,Unit Quantity Received
EA,1,3,Russian Federation,13805.17,43385.16,2025-01-14,No,Policy,She,Financial,Measure,Yes,Draw,2025-02-09,116792364,Approach,Inside,26,Theory,GBP,Moment,315987607,Marcus Hunter,107910752,EA,2024-08-16,Win,AP03,MAT-93657,EMP731716,63,2025-01-13,Pending,904927022,2025-01-14,Dog Patch,How,2025-01-14,USD,9743780682,NB,PG11,NA01,666141050,2025-02-09,4,2026-10-20,Closed,CT-6910-RDE,60,53,57,92,296,92,92
EA,5,20,Puerto Rico,36546.49,12853.07,2025-05-16,Yes,Food,Company,Measure,Imagine,No,Music,2025-06-09,621642130,Base,Too,17,Rest,GBP,Only,684239013,Crystal Mcintosh,623179764,EA,2025-07-21,Simply,US01,MAT-22152,EMP627653,73,2025-05-15,Released,156392363,2025-05-16,Culture Solution,Stage,2025-05-16,USD,4424772580,NB,PG87,NA01,995528137,2025-06-09,4,2025-08-27,Closed,CT-3472-PNG,25,63,10,63,304,63,63
EA,10,40,Liechtenstein,42596.86,33770.4,2025-10-03,No,Board,Remain,Consumer,Responsibility,No,Close,2025-10-23,535748549,Film,Prove,63,Class,JPY,Reflect,546187392,William Moore,723262375,EA,2025-12-07,What,AP03,MAT-85304,EMP713266,11,2025-10-02,Released,197905368,2025-10-03,Artist Solution,Left,2025-10-03,GBP,3070793433,NB,PG42,EU01,870316939,2025-10-23,4,2025-01-06,Open,CT-8970-PLO,64,66,8,90,190,90,87
EA,6,23,Seychelles,24264.53,26581.38,2025-06-07,Yes,Lot,Defense,Already,Treat,Yes,Continue,2025-06-28,347572304,List,Down,36,Soldier,USD,Whole,119928363,Deborah Lewis,734131229,EA,2024-10-21,Brother,AP03,MAT-86168,EMP660610,20,2025-06-06,Pending,885184847,2025-06-07,Run Solution,List,2025-06-07,EUR,8883632243,FO,PG77,EU01,703915868,2025-06-28,3,2025-03-15,Closed,CT-6109-EDZ,84,48,122,223,353,223,219
EA,6,25,Korea,38688.03,44866.25,2025-06-21,Yes,Machine,These,Security,Image,Yes,Mind,2025-07-10,674441527,Myself,Prove,14,Call,JPY,Church,620568350,Dean Wilson,822700483,EA,2024-02-12,Early,EU02,MAT-15875,EMP586148,58,2025-06-20,Released,426247858,2025-06-21,Happy Solution,Certainly,2025-06-21,USD,6995291965,FO,PG71,EU01,863048115,2025-07-10,4,2025-02-12,Closed,CT-8742-ECD,24,69,37,139,133,139,136
EA,12,50,Pakistan,43913.62,30443.05,2024-12-14,Yes,Resource,Report,Enjoy,Mother,No,Civil,2024-12-31,268263470,Later,Piece,84,Instead,JPY,Apply,137744589,Michael Miller,301425335,EA,2026-10-02,Can,EU02,MAT-33689,EMP845266,73,2024-12-13,Released,793511931,2024-12-14,South Capsule,Age,2024-12-14,GBP,5631318704,NB,PG90,EU01,588572768,2024-12-31,5,2026-02-19,Closed,CT-6910-RDE,26,68,6,140,297,140,139
EA,12,49,Azerbaijan,46119.61,15563.67,2024-12-07,No,Produce,Exist,Chair,Military,Yes,Certain,2024-12-28,896776698,Know,Home,52,Listen,EUR,Difference,867971101,Casey Young,141592506,EA,2025-01-22,Provide,LAT04,MAT-39627,EMP878214,77,2024-12-06,Released,652114170,2024-12-07,Fund Tablet,Friend,2024-12-07,GBP,1027623190,FO,PG61,NA01,522394834,2024-12-28,1,2024-01-27,Closed,CT-5014-EEP,215,230,260,262,319,262,258
EA,1,5,Puerto Rico,11427.89,41999.8,2025-01-28,No,Main,Feeling,Best,Reveal,Yes,Pressure,2025-02-06,828532856,Home,Property,64,Road,USD,Early,764882628,Joseph Salazar,588871836,EA,2025-02-04,Far,EU02,MAT-60599,EMP718408,16,2025-01-27,Pending,723261386,2025-01-28,Traditional Patch,Off,2025-01-28,USD,4938878542,FO,PG22,NA01,164760637,2025-02-06,3,2024-11-14,Closed,CT-2004-PSX,14,6,4,25,462,25,24
EA,3,11,Jersey,4377.04,25921.82,2025-03-12,No,Help,Word,No,About,Yes,Other,2025-04-06,319954415,Hold,Image,79,Send,USD,Trial,546048366,Nicole Carter,610300318,EA,2026-04-27,Window,LAT04,MAT-16078,EMP224233,77,2025-03-11,Pending,555598732,2025-03-12,Stock Patch,Growth,2025-03-12,GBP,9310503417,NB,PG73,EU01,610211833,2025-04-06,3,2025-01-24,Closed,CT-9831-IEW,162,164,173,290,118,290,286
EA,10,43,Niger,30487.54,24286.94,2025-10-26,Yes,Anything,Peace,Everybody,Billion,Yes,Daughter,2025-11-20,127214228,Charge,Them,12,Expect,USD,Hear,402179779,Natalie Jones,395243612,EA,2025-07-14,Seven,AP03,MAT-66374,EMP508106,22,2025-10-25,Released,167296027,2025-10-26,Oil Tablet,Republican,2025-10-26,GBP,4764341482,NB,PG96,EU01,887836991,2025-11-20,5,2025-07-05,Open,CT-7484-BIH,13,19,21,31,102,31,29
EA,4,18,Turkey,5895.78,9796.14,2025-04-30,No,Opportunity,First,Care,Wind,Yes,Model,2025-05-13,694992180,Here,Matter,90,Little,GBP,Represent,479684794,Jared Marshall,891983393,EA,2026-05-04,Industry,US01,MAT-40706,EMP679743,24,2025-04-29,Pending,682354712,2025-04-30,Keep Capsule,Firm,2025-04-30,EUR,2577380005,NB,PG28,EU01,870620747,2025-05-13,2,2024-07-11,Open,CT-3395-UCM,109,31,94,122,439,122,121
EA,2,8,Haiti,27719.62,9935.8,2025-02-18,No,Lawyer,Contain,Rich,Notice,No,Marriage,2025-03-04,784390816,Court,Election,79,Test,EUR,Life,885181320,Zachary Castillo,439127838,EA,2026-04-17,Ask,US01,MAT-78401,EMP883089,75,2025-02-17,Pending,918381006,2025-02-18,Expect Tablet,Someone,2025-02-18,USD,4949000756,FO,PG99,NA01,204009656,2025-03-04,1,2025-01-31,Open,CT-1696-SCY,74,142,91,197,306,197,192
