Actual Delivery Date,Item number of purchase requisition,Item number of purchasing document,Material,MRP Controller,Name of requisitioner/requester,Order Number,Plant,Product Description,Purchase Requisition Number,Purchasing document number,Purchasing Organization,Requested Unit of Measure,Requisition Date,Sequential Number of Account Assignment,Vendor,Distribution Percentage,Preq Quantity,Trial Alias
2025-01-22,16,45,MAT-93657,MRP-109,Barbara Vega,C87DA7B5-D02,AP03,Dog Patch,PR18653384,5804825442,NA01,EA,2025-01-06,499,V4478495,1.26,87,CT-6910-RDE
2025-05-24,65,68,MAT-22152,MRP-129,Leslie Taylor,502EC192-A84,US01,Culture Solution,PR66262506,5003007556,NA01,EA,2025-05-11,274,V6021824,67.64,65,CT-3472-PNG
2025-10-04,70,89,MAT-85304,MRP-117,Max Gonzalez,D30AB6AE-A77,AP03,Artist Solution,PR37458761,1234188699,EU01,EA,2025-09-20,96,V2724269,76.43,90,CT-8970-PLO
2025-06-17,65,75,MAT-86168,MRP-119,Laura Wilson,93E2AB3B-625,AP03,Run Solution,PR82148447,3595747805,EU01,EA,2025-05-30,307,V2410360,28.9,232,CT-6109-EDZ
2025-06-30,76,21,MAT-15875,MRP-138,Tony Acosta,49D908EC-D19,EU02,Happy Solution,PR62086041,6911610097,NA01,EA,2025-06-12,49,V2167653,82.33,143,CT-8742-ECD
2024-12-17,90,57,MAT-33689,MRP-116,John Martin,7F8EA55C-605,EU02,South Capsule,PR61087772,2127137274,NA01,EA,2024-11-29,350,V3879015,63.23,149,CT-6910-RDE
2024-12-08,19,89,MAT-39627,MRP-123,Jake Thomas,AB2CA71A-47C,LAT04,Fund Tablet,PR67536575,7685906809,NA01,EA,2024-12-03,469,V9249629,65.89,267,CT-5014-EEP
2025-02-10,37,40,MAT-60599,MRP-113,Hector Smith,EA3FBE37-E91,EU02,Traditional Patch,PR30923578,8193955528,NA01,EA,2025-01-21,16,V3638157,52.49,31,CT-2004-PSX
2025-03-18,63,47,MAT-16078,MRP-139,Jason Stark,C2863B49-6B7,LAT04,Stock Patch,PR57340507,4598228180,EU01,EA,2025-03-05,417,V8979124,76.97,291,CT-9831-IEW
2025-10-21,71,75,MAT-66374,MRP-135,Morgan Hill,7EA3E715-4EB,AP03,Oil Tablet,PR75161071,8477544847,EU01,EA,2025-10-12,314,V3796244,55.8,37,CT-7484-BIH
2025-04-23,15,36,MAT-40706,MRP-103,Justin Weaver,F52B62BD-E91,US01,Keep Capsule,PR83601063,8732202960,EU01,EA,2025-04-18,148,V2171411,79.97,121,CT-3395-UCM
2025-02-20,84,38,MAT-78401,MRP-103,Michael Smith,D465FA61-668,US01,Expect Tablet,PR82949725,1752944149,NA01,EA,2025-02-04,173,V4530880,28.64,192,CT-1696-SCY
2024-11-17,42,35,MAT-49508,MRP-116,Lisa Reeves,BAFF899E-7D4,LAT04,Able Patch,PR61474521,6815102629,EU01,EA,2024-11-10,137,V8781759,62.04,8,CT-6592-IDY
2025-09-17,40,51,MAT-22152,MRP-129,Zachary Thompson,082EC977-749,US01,Culture Solution,PR98294827,2136144168,NA01,EA,2025-08-31,490,V9427080,95.96,239,CT-3472-PNG
2025-10-12,62,32,MAT-15875,MRP-138,Bethany Flores,1DE4A4D7-80D,EU02,Happy Solution,PR48080409,1705250198,NA01,EA,2025-10-05,22,V2610329,97.72,181,CT-8742-ECD
2025-09-27,57,20,MAT-59372,MRP-126,Nicole Clark,4FFC728A-450,US01,Issue Patch,PR11895299,4194408669,NA01,EA,2025-09-21,4,V8037587,55.63,28,CT-7487-KNX
